Kabupaten_Kota,lat,lon
Kab. Bogor,-6.5518,106.6291
Kab. Sukabumi,-7.0279,106.5645
Kab. Cianjur,-7.3315,107.1352
Kab. Bandung,-7.1147,107.5684
Kab. Garut,-7.4217,107.8184
Kab. Tasikmalaya,-7.5258,108.0674
Kab. Ciamis,-7.2625,108.3182
Kab. Kuningan,-7.0145,108.5392
Kab. Cirebon,-6.746,108.4842
Kab. Majalengka,-6.8361,108.2274
Kab. Sumedang,-6.837,107.92
Kab. Indramayu,-6.4526,108.0933
Kab. Subang,-6.5332,107.7656
Kab. Purwakarta,-6.5985,107.4475
Kab. Karawang,-6.2974,107.306
Kab. Bekasi,-6.23,107.0862
Kab. Bandung Barat,-6.8407,107.502
Kab. Pangandaran,-7.6322,108.5447
Kota Bogor,-6.5971,106.7902
Kota Sukabumi,-6.9237,106.9287
Kota Bandung,-6.9175,107.6191
Kota Cirebon,-6.732,108.5523
Kota Bekasi,-6.2383,106.9756
Kota Depok,-6.4025,106.7942
Kota Cimahi,-6.8723,107.5436
Kota Tasikmalaya,-7.3274,108.2232
Kota Banjar,-7.3746,108.5335
